cpu,memory,error_rate,latency,failed
75.14,87.56,0.0845,410.8,1
29.39,40.06,0.0153,129.7,0
51.63,72.45,0.028,150.8,0
88.22,97.34,0.1054,635.3,1
92.99,98.63,0.159,503.5,1
57.77,29.87,0.0344,76.2,0
86.67,77.14,0.0902,271.2,1
71.11,65.73,0.0265,176.4,1
82.66,90.21,0.0582,428.0,1
74.33,66.0,0.0651,154.3,0
26.63,34.82,0.0121,167.1,0
85.64,87.69,0.1154,343.1,0
77.19,84.97,0.0855,372.4,1
37.1,45.08,0.0191,175.7,0
54.07,77.96,0.0415,234.3,0
63.72,66.0,0.0261,229.2,0
18.78,33.78,0.0078,180.4,0
89.55,90.85,0.2322,689.7,1
91.25,96.22,0.2291,617.2,1
68.89,60.75,0.0205,166.3,0
59.64,59.52,0.0306,298.7,0
26.52,24.52,0.0216,98.7,0
88.53,91.33,0.2759,431.8,1
83.49,90.54,0.1064,288.4,1
66.34,66.82,0.043,292.5,0
58.93,58.17,0.0465,168.5,0
98.33,96.16,0.131,511.0,1
39.52,55.48,0,118.8,0
63.73,78.59,0.0328,313.5,1
97.67,96.24,0.2386,557.3,1
77.06,83.24,0.11,331.3,1
80.02,86.57,0.0647,265.3,0
73.95,87.45,0.0671,369.1,1
92.1,96.06,0.1743,475.6,1
36.77,55.78,0.0003,177.9,0
47.29,21.08,0.0219,105.3,0
86.12,95.47,0.1801,406.8,1
95.69,97.87,0.1217,451.1,1
86.69,75.78,0.1204,325.0,0
17.25,35.75,0.0226,55.8,0
80.16,93.63,0.0606,354.7,0
57.22,49.52,0.0154,112.1,0
63.33,72.77,0.059,205.3,1
78.66,89.18,0.1013,377.1,0
31.42,52.72,0.036,129.2,0
88.77,95.05,0.1778,466.1,1
68.79,56.32,0.0238,237.0,0
79.12,90.28,0.0532,251.0,1
41.52,56.42,0.0369,54.2,0
64.27,57.49,0.0384,167.7,0
96.72,94.08,0.2884,673.8,1
57.02,34.29,0.0283,185.0,0
57.1,69.36,0.0571,227.2,1
56.95,64.0,0.0561,215.5,0
57.05,41.54,0.0318,127.6,0
93.71,91.08,0.1593,499.0,1
93.41,93.49,0.2894,755.9,1
20.37,31.42,0.0284,80.8,0
89.39,83.93,0.0515,299.6,1
93.94,96.73,0.236,477.1,1
20.04,61.16,0.0064,95.8,0
96.67,92.61,0.1119,402.2,1
72.95,73.36,0.0488,238.0,0
66.38,65.36,0.0235,230.3,1
39.77,54.43,0.0236,104.4,0
82.41,88.48,0.0932,311.5,1
44.74,32.66,0.0092,71.4,0
93.07,93.56,0.2041,759.2,1
56.41,67.54,0.0273,204.1,1
89.81,95.18,0.245,566.4,1
28.34,45.26,0.0081,103.1,0
28.08,45.48,0.0391,120.0,0
88.53,98.1,0.2488,531.8,1
98.93,91.93,0.266,488.4,1
85.73,90.8,0.1391,484.3,1
91.18,82.11,0.0864,450.5,1
100,98.92,0.2755,463.9,1
92.15,96.31,0.1575,549.4,1
85.37,93.94,0.0778,366.5,1
86.98,90.21,0.0757,445.5,1
62.55,68.27,0.0368,237.4,1
59.56,55.62,0.0645,197.7,0
70.07,82.71,0.058,393.1,1
93.36,95.94,0.102,571.1,1
85.87,95.69,0.0756,269.0,0
71.31,90.59,0.0978,282.6,1
90.73,91.9,0.2468,783.8,1
67.37,68.85,0.035,296.6,0
85.65,88.85,0.1118,373.5,1
49.24,56.27,0.006,123.4,0
59.68,61.49,0.008,189.6,0
13.99,24.2,0.0113,61.1,0
89.96,92.36,0.2239,631.9,1
61.67,65.56,0.054,289.0,0
24.22,62.27,0.0071,128.9,0
46.95,52.7,0.0096,179.6,0
68.08,76.55,0.0569,158.2,0
35.99,41.61,0.0059,194.7,0
24.26,42.78,0.0015,165.4,0
39.17,60.79,0.0321,103.8,0
39.61,25.44,0.0227,53.9,0
97.82,97.21,0.1601,445.9,1
63.2,70.83,0.0421,246.1,1
83.4,94.76,0.2298,672.4,1
74.07,86.44,0.0626,365.3,0
93.9,92.26,0.2981,417.0,1
33.83,64.59,0.0122,98.6,0
77.49,78.09,0.1155,269.8,1
38.18,61.89,0.0057,103.7,0
26.55,58.13,0.0023,148.6,0
50.63,66.33,0.039,242.7,0
53.6,74.63,0.0417,225.4,0
25.29,50.3,0.0288,81.5,0
20.68,46.56,0.0298,97.8,0
57.46,66.15,0.0313,241.3,0
27.69,26.7,0.0118,194.5,0
98.38,93.6,0.2078,581.1,1
81.83,75.02,0.1076,295.5,1
50.73,73.41,0.0305,286.3,0
90.69,99.62,0.271,487.0,1
48.45,37.17,0.0262,90.1,0
73.42,75.09,0.0551,382.6,0
84.69,95.04,0.1118,328.6,0
88.42,81.02,0.1125,347.1,0
96.45,92.89,0.291,681.0,1
60.27,73.64,0.0382,187.5,1
23.75,32.74,0.0325,135.0,0
24.06,65.04,0.0089,198.3,0
86.32,92.98,0.2341,537.7,1
99.72,97.25,0.1984,566.0,1
55.87,55.14,0.059,189.3,0
40.07,60.35,0,156.8,0
64.82,66.07,0.0269,201.3,0
74.17,74.93,0.0734,372.9,1
86.32,91.63,0.1322,512.6,1
97.91,92.18,0.2252,536.8,1
92.98,92.93,0.1496,418.4,1
100,95.57,0.2111,751.0,1
95.01,90.5,0.1605,558.6,1
54.24,72.43,0.0279,317.2,0
87.31,99.13,0.1326,621.5,1
91.33,99.37,0.2048,778.1,1
35.41,28.37,0.0246,147.8,0
87.64,92.49,0.1082,298.9,1
86.56,100,0.1703,475.8,1
75.13,91.06,0.1125,397.9,1
76.68,84.3,0.0978,302.3,0
36.73,28.56,0.0169,107.2,0
71.32,58.81,0.0216,153.5,1
94.91,89.95,0.1098,552.5,1
74.99,89.95,0.0716,427.4,0
69.51,72.31,0.0566,170.7,0
65.41,71.9,0.0219,184.8,0
97.86,95.08,0.1445,501.2,1
80.57,85.98,0.068,378.0,1
75.01,84.96,0.065,247.0,1
44.05,63.03,0.0132,115.7,0
60.34,72.27,0.0523,232.5,0
59.0,68.56,0.061,265.0,0
57.92,72.78,0.0389,267.0,0
36.37,28.41,0.0094,138.1,0
60.02,78.4,0.0605,291.3,1
58.14,55.08,0.0455,192.6,0
63.51,69.63,0.0389,275.4,0
84.04,87.13,0.0494,234.9,1
73.73,90.83,0.0748,328.0,1
91.17,82.88,0.0998,302.4,1
66.5,71.25,0.026,206.4,0
39.92,20.62,0.0047,160.4,0
80.13,78.71,0.0964,380.3,1
61.61,77.46,0.0467,253.8,0
59.7,65.17,0.0254,212.7,0
54.17,57.63,0.0293,56.4,0
84.14,85.63,0.1219,297.2,0
77.07,77.91,0.1079,443.8,0
89.42,75.95,0.1059,300.6,1
92.97,99.74,0.1192,675.1,1
96.47,94.9,0.1381,565.4,1
62.7,65.25,0.0681,217.1,1
72.83,72.39,0.0344,222.3,0
85.28,100,0.2785,643.9,1
99.92,88.95,0.1956,502.1,1
95.61,90.78,0.187,648.4,1
17.98,38.97,0.0239,42.2,0
67.74,65.73,0.0397,277.8,0
85.64,79.14,0.1011,295.2,1
17.95,25.81,0.0076,145.0,0
89.26,96.43,0.1394,542.1,1
48.29,40.27,0.027,175.4,0
96.29,95.14,0.204,753.6,1
94.54,96.5,0.1663,742.5,1
99.1,100,0.1931,445.3,1
83.4,93.09,0.096,309.4,1
62.52,72.64,0.0378,164.0,0
85.76,81.67,0.0486,282.7,1
83.83,77.36,0.0539,411.5,0
67.71,69.69,0.0361,263.1,0
90.76,75.85,0.0993,296.0,1
84.28,84.64,0.0941,392.7,1
67.02,59.37,0.0171,190.5,0
52.37,77.42,0.0527,268.1,0
48.55,34.32,0.0087,79.1,0
29.9,61.55,0.0281,98.7,0
21.84,34.55,0.0058,161.8,0
97.87,100,0.1804,611.1,1
90.63,91.35,0.235,539.1,1
43.95,30.83,0.0226,95.1,0
94.54,98.72,0.2453,443.7,1
81.68,86.23,0.0611,308.7,1
44.67,46.12,0.0348,122.1,0
80.25,79.26,0.1121,336.2,1
90.12,77.37,0.1019,435.0,1
52.3,56.12,0.0539,224.3,0
99.05,97.53,0.1246,480.4,1
53.51,61.12,0.0355,103.1,0
98.41,91.85,0.2312,493.2,1
81.59,80.83,0.0859,353.0,1
67.13,70.94,0.0333,214.9,0
94.71,90.32,0.2217,727.2,1
48.98,60.46,0.0368,133.3,0
40.92,43.92,0.0372,131.7,0
71.63,86.88,0.0612,330.1,0
62.1,59.41,0.066,237.7,0
88.55,93.81,0.1457,684.2,1
17.33,48.28,0.0074,198.4,0
58.42,66.35,0.0466,281.0,1
78.4,82.95,0.0937,338.8,0
53.25,68.5,0.0626,248.3,0
64.72,65.32,0.0361,155.1,0
54.53,60.38,0.0695,231.2,0
23.62,46.94,0.0158,125.6,0
65.97,66.05,0.0272,238.1,0
22.7,57.07,0.0204,117.6,0
55.14,45.52,0.0307,44.0,0
91.75,94.91,0.1116,607.2,1
32.48,31.85,0.0313,176.8,0
44.94,56.14,0.0254,60.3,0
72.39,83.97,0.0959,298.2,1
59.35,73.82,0.0426,213.8,0
70.02,70.34,0.0564,210.5,0
20.81,65.11,0.0006,46.2,0
59.9,69.37,0.0609,271.9,0
65.15,64.11,0.0311,249.2,0
63.73,70.95,0.037,255.0,0
92.15,94.32,0.2507,444.0,1
76.57,89.33,0.0626,442.9,1
36.67,35.45,0.0085,117.0,0
100,95.47,0.2536,706.5,1
35.57,32.41,0.0189,164.8,0
81.02,76.48,0.104,316.9,0
90.69,93.91,0.2116,482.6,1
68.86,75.44,0.0264,197.2,0
94.14,98.13,0.2082,436.3,1
80.12,92.9,0.1171,305.2,0
39.52,38.51,0.0274,83.8,0
46.78,35.82,0.0026,95.0,0
78.74,84.09,0.0615,375.4,1
69.14,74.22,0.0626,232.2,0
23.02,43.36,0.0427,169.4,0
32.83,51.59,0.0028,165.5,0
76.61,86.87,0.1078,321.9,1
74.27,60.43,0.0374,225.1,0
71.33,72.64,0.0622,207.0,0
76.12,82.28,0.0674,382.4,0
91.86,93.6,0.1066,674.3,1
61.01,57.48,0.0718,205.1,1
51.88,76.8,0.0398,171.2,0
46.76,58.88,0.0114,119.2,0
65.33,66.55,0.0615,280.9,0
68.12,67.31,0.0418,182.7,0
92.22,97.94,0.2014,706.1,1
38.67,29.35,0.0369,128.7,0
57.8,66.29,0.0298,274.4,0
78.73,91.16,0.064,295.4,1
20.98,62.14,0.0012,176.2,0
22.98,44.2,0.014,108.4,0
71.78,88.74,0.0642,293.3,1
98.51,90.99,0.256,480.9,1
95.59,92.78,0.2376,469.7,1
47.71,44.17,0.0013,128.9,0
25.96,39.12,0,187.9,0
95.33,92.29,0.2525,518.3,1
16.19,47.94,0.0332,180.3,0
84.65,85.37,0.0634,385.3,1
80.73,86.27,0.0907,373.1,1
49.72,59.43,0.0336,176.9,0
41.14,38.25,0.0284,85.7,0
95.77,89.93,0.1582,545.7,1
55.03,55.34,0.0253,183.7,1
71.6,81.13,0.1036,251.3,1
32.42,51.69,0.0369,174.5,0
50.96,22.43,0.0083,115.6,0
65.32,78.99,0.0497,241.8,0
97.59,90.3,0.1411,558.3,1
88.58,87.31,0.118,408.6,1
61.22,66.76,0.0526,195.4,0
37.18,66.13,0.008,107.9,0
88.22,83.85,0.0876,379.9,0
56.76,76.17,0.0275,196.9,0
40.1,31.74,0.0322,130.4,0
91.86,99.09,0.2691,501.8,1
85.12,96.03,0.1604,632.9,1
99.29,98.67,0.2115,429.5,1
93.58,91.59,0.1761,419.4,1
61.18,69.59,0.0326,235.3,0
19.44,39.23,0.0179,65.3,0
83.6,93.6,0.0797,289.5,0
21.53,23.73,0.0331,196.8,0
27.58,41.39,0.0164,163.0,0
66.4,69.95,0.0358,293.8,0
72.47,88.74,0.0542,308.5,0
87.73,95.27,0.2956,427.3,1
92.63,97.08,0.1104,749.6,1
75.36,80.08,0.1186,465.7,0
57.06,61.26,0.0121,102.1,0
60.23,67.85,0.0428,200.1,0
73.55,64.63,0.0517,245.9,1
59.46,69.84,0.0701,183.0,0
99.97,93.99,0.2456,716.2,1
53.54,72.99,0.0525,184.4,0
85.75,98.01,0.1935,646.4,1
51.78,76.07,0.0233,173.1,0
96.99,94.52,0.1604,592.4,1
95.95,94.51,0.2899,610.3,1
35.4,56.8,0.005,201.7,0
22.69,38.45,0.0334,182.8,0
61.93,72.73,0.025,220.8,1
78.84,77.58,0.0932,408.8,0
68.05,57.62,0.0286,217.9,0
60.11,63.12,0.0621,274.0,0
34.39,32.4,0.0273,105.1,0
70.22,83.82,0.0865,409.6,1
86.67,96.23,0.1522,600.9,1
51.79,63.05,0.0231,139.2,0
54.28,63.97,0.0555,249.4,0
17.46,33.18,0.0159,98.6,0
51.89,74.72,0.0372,231.2,0
35.91,51.42,0.0356,199.0,0
89.77,88.82,0.0821,387.5,1
51.24,57.6,0.0504,161.0,0
50.31,59.33,0.0291,276.0,0
79.26,88.07,0.117,415.4,0
44.2,41.01,0.0283,180.4,0
52.72,32.3,0.0311,109.3,0
71.46,76.65,0.1099,305.3,1
52.03,53.47,0.0285,86.7,0
96.94,91.18,0.202,453.7,1
50.89,62.22,0.0051,94.1,0
52.89,62.05,0.0295,70.8,0
28.33,23.54,0.0301,191.4,0
69.6,90.3,0.0974,298.8,0
71.81,79.87,0.0493,360.3,1
79.68,76.54,0.0758,410.5,1
86.18,95.61,0.1378,643.1,1
78.34,80.02,0.1038,395.6,0
86.34,94.89,0.2253,722.4,1
89.79,82.65,0.0943,382.0,1
79.6,91.54,0.0719,304.0,1
51.14,44.17,0.0214,107.4,0
73.53,89.66,0.0769,452.8,1
86.5,95.19,0.1641,443.0,1
88.47,96.77,0.1148,499.4,1
65.34,67.83,0.0326,254.1,0
88.7,94.18,0.1003,446.9,1
73.16,91.46,0.1156,231.4,1
95.06,94.12,0.1653,552.1,1
65.38,74.59,0.0331,218.5,0
68.6,66.83,0.0414,310.1,1
93.89,93.45,0.1841,708.3,1
97.89,91.84,0.2051,567.1,1
74.2,86.57,0.1011,277.0,1
39.21,48.13,0.0124,146.2,0
83.89,93.37,0.0858,246.3,1
76.04,73.95,0.1143,386.6,1
44.47,31.64,0.0255,65.4,0
71.35,80.99,0.1066,250.7,0
55.9,70.86,0.0407,287.3,0
71.84,72.49,0.0414,221.1,0
43.5,53.2,0.008,85.2,0
57.54,74.35,0.0432,178.9,0
19.82,44.52,0.0125,167.4,0
25.46,46.98,0.0217,152.1,0
57.93,56.01,0.0189,169.2,0
75.2,77.28,0.0578,446.0,1
19.48,48.42,0.0125,149.0,0
55.44,66.38,0.0708,256.6,0
77.13,89.65,0.0725,249.6,1
37.1,60.36,0.0275,65.5,0
56.35,51.2,0.0045,76.8,0
65.64,54.59,0.0169,216.9,1
90.45,92.94,0.2444,732.5,1
86.03,93.57,0.3033,539.3,1
81.28,92.92,0.051,337.3,1
59.01,64.5,0.0222,234.8,0
47.55,45.91,0.0204,72.8,0
100,89.79,0.165,541.2,1
98.03,96.99,0.2097,696.0,1
34.73,60.0,0,147.5,0
33.95,27.67,0.027,161.5,0
62.56,75.59,0.0655,265.2,0
68.77,70.61,0.0373,165.7,1
19.63,57.12,0.0215,86.7,0
47.97,46.62,0.0083,139.7,0
79.18,83.24,0.1202,377.2,0
75.34,74.54,0.0691,275.1,1
60.2,72.04,0.0345,157.9,1
66.09,57.3,0.0548,174.5,0
55.08,29.5,0.0338,126.5,0
77.29,88.89,0.112,284.0,0
52.28,68.34,0.0215,213.7,0
64.04,77.93,0.0336,167.4,0
70.82,62.12,0.0355,175.6,0
53.51,75.54,0.0468,308.8,0
57.85,67.45,0.0303,270.9,0
97.24,95.83,0.1811,557.5,1
38.66,19.74,0.031,176.1,0
95.37,93.52,0.1915,613.7,1
85.78,99.22,0.2242,689.2,1
28.65,52.71,0.0301,146.7,0
83.16,75.56,0.1174,379.6,1
65.54,72.78,0.0495,275.5,1
68.52,72.24,0.0348,282.8,0
35.97,43.41,0.0349,192.6,0
22.19,61.61,0.0002,95.2,0
46.88,41.51,0.0398,129.8,0
59.94,66.71,0.0602,154.0,1
79.02,83.22,0.0947,307.4,1
71.61,64.04,0.0559,175.4,0
66.3,60.64,0.0497,163.8,1
15.59,34.5,0.0013,81.7,0
71.06,85.69,0.121,374.6,0
72.3,95.99,0.0929,361.6,1
69.91,71.37,0.0679,185.5,1
31.29,58.4,0.0192,52.8,0
75.82,76.25,0.1094,389.5,1
55.36,35.74,0.0046,172.1,0
100,92.09,0.2435,589.9,1
94.5,93.35,0.272,640.2,1
72.98,93.86,0.1035,276.1,1
54.19,76.15,0.0344,233.2,0
50.56,55.68,0.0371,290.1,0
98.57,98.33,0.1067,700.4,1
94.26,97.16,0.2257,593.4,1
71.91,75.26,0.0716,442.1,0
71.49,81.89,0.0957,252.1,0
88.2,89.92,0.0987,323.1,1
22.85,31.32,0.0286,111.9,0
70.73,69.78,0.0575,289.6,0
21.01,24.46,0.0011,121.7,0
74.22,81.85,0.1002,262.1,0
34.05,54.06,0.0023,34.1,0
34.15,59.27,0,99.3,0
56.41,63.18,0.0211,276.9,0
63.49,58.57,0.0577,274.6,0
59.64,23.91,0.0102,123.2,0
22.05,34.42,0.0207,67.1,0
39.28,40.64,0.015,88.6,0
94.22,92.28,0.2988,565.1,1
53.32,56.81,0.0393,101.0,0
21.33,39.34,0.0248,191.2,0
59.37,68.99,0.0717,171.7,0
86.93,92.97,0.1161,307.1,1
85.16,90.91,0.195,634.1,1
59.23,35.6,0.0233,83.0,0
95.94,91.39,0.236,598.0,1
60.99,59.38,0.001,104.6,0
88.75,78.56,0.0801,314.6,1
92.12,100,0.2025,550.7,1
77.38,73.67,0.0571,411.0,1
33.24,63.58,0.0152,41.9,0
52.25,25.78,0.0068,131.4,0
88.51,96.52,0.2183,806.6,1
46.76,27.93,0.0184,190.5,0
61.57,74.37,0.0643,272.1,0
64.71,79.21,0.0562,233.8,0
86.07,86.83,0.0702,415.8,1
95.14,94.22,0.2762,657.6,1
90.65,98.12,0.2641,723.5,1
58.85,57.97,0.0308,235.4,0
70.09,60.63,0.0309,155.2,0
77.92,84.74,0.0781,391.5,0
67.69,55.31,0.0541,249.9,1
99.81,98.09,0.2745,561.6,1
37.5,58.84,0.0354,174.6,0
76.28,85.26,0.074,418.5,0
91.92,97.08,0.1116,612.4,1
75.37,75.07,0.0715,208.7,0
45.32,57.33,0.009,145.4,0
40.91,32.35,0.0224,43.2,0
58.68,77.06,0.0309,206.8,0
53.41,63.19,0.0231,124.8,0
68.41,67.47,0.0329,222.4,0
65.01,73.1,0.0234,210.8,0
72.11,71.19,0.0615,211.0,0
75.51,82.19,0.0672,442.2,1
72.28,79.07,0.0275,238.8,1
75.12,87.65,0.0509,344.1,1
53.28,77.97,0.0601,213.0,0
86.44,77.73,0.0621,398.4,0
85.88,93.54,0.2731,786.7,1
70.88,86.57,0.0554,448.3,1
15.93,41.23,0.0198,178.3,0
55.78,67.72,0.0629,266.4,1
58.48,42.18,0.043,82.7,0
82.14,83.94,0.0658,402.8,1
84.84,92.31,0.1453,434.2,1
85.58,94.95,0.2455,579.0,1
25.46,33.04,0.0352,151.0,0
39.74,46.39,0.0211,42.6,0
31.35,44.89,0.0414,181.9,0
92.6,93.18,0.2311,549.7,1
53.57,58.02,0.051,194.4,1
55.56,73.88,0.0414,171.3,0
53.75,65.8,0.0433,284.2,0
63.27,78.38,0.045,231.8,0
86.98,95.99,0.299,671.7,1
26.68,38.19,0.0404,135.3,0
87.86,90.18,0.1113,424.5,1
76.96,87.86,0.1072,235.1,1
98.83,93.47,0.2151,600.7,1
55.01,55.03,0.0681,169.4,0
92.81,93.26,0.2347,702.4,1
98.33,91.66,0.1239,457.4,1
95.89,95.26,0.1852,649.0,1
91.11,91.1,0.2757,693.5,1
55.56,70.09,0.0665,171.6,1
72.36,84.46,0.0833,377.4,1
33.66,34.11,0.0034,201.5,0
78.72,83.76,0.0622,402.6,1
88.3,93.63,0.2446,795.8,1
64.34,62.48,0.0535,246.7,1
91.08,91.52,0.106,420.4,1
51.55,35.14,0.0104,95.4,0
51.15,45.48,0.032,160.0,0
98.11,100,0.2547,773.9,1
37.28,28.43,0.0077,91.3,0
94.54,92.39,0.2288,530.5,1
24.38,55.9,0.0169,120.2,0
53.44,73.47,0.0407,198.3,0
87.15,83.2,0.1029,404.4,1
87.53,95.82,0.2334,665.1,1
77.64,92.09,0.1023,440.7,1
68.12,66.94,0.0341,242.9,0
96.19,99.69,0.1207,615.8,1
72.37,86.79,0.0723,308.5,1
85.04,94.16,0.0532,268.0,1
34.14,46.74,0.002,109.4,0
59.62,62.19,0.0567,250.3,0
68.9,62.28,0.0288,255.8,0
87.29,98.26,0.1814,629.0,1
93.99,99.5,0.2462,565.1,1
46.49,42.18,0,87.6,0
19.92,47.69,0.0006,72.4,0
52.42,71.02,0.0223,269.0,0
70.7,75.4,0.087,325.3,1
70.51,66.92,0.046,224.1,0
